Graph already exists at: ./input/random_graphs/graph_10_33_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_20_86_POWLAW_6230961512046992311.txt
Running experiments with 1 iterations, varying N from 10 to 10,000 and seed token 1729
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpath2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k2/kpathN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpath2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k5/kpathN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpath2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/kpath/k10/kpathN_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev0_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev1_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klev2_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k2/klevN_k2_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev0_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev1_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klev2_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k5/klevN_k5_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev0_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev1_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klev2_k10_seed_1729_itr_1_20250804_101736.csv
Created: ./results/random_v2/VARN/POWLAW/logN/klev/k10/klevN_k10_seed_1729_itr_1_20250804_101736.csv
Running kpath variant 0 with N=10, sparsity=2, k=2, seed=1729...
Running kpath variant 1 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 66.0, Time/Memory: 0.00,4196
Running klev variant 1 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.00,4168
Running klev variant N with N=500, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.00,4224
Running klev variant 0 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 66.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 65.0, Time/Memory: 0.00,4168
Running klev variant N with N=500, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 65.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 64.0, Time/Memory: 0.00,4180
Running klev variant 1 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4172
Running klev variant 2 with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=500, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4224
Running kpath variant 0 with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 106.0, Time/Memory: 0.01,4172
Running kpath variant 1 with N=600, sparsity=2, k=2, seed=1729...
Graph already exists at: ./input/random_graphs/graph_700_6615_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_800_7715_POWLAW_6230961512046992311.txt
      Average Passes: 7.0,  Average Height: 107.0, Time/Memory: 0.01,4168
Running kpath variant 2 with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 111.0, Time/Memory: 0.00,4164
Running kpath variant N with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 113.0, Time/Memory: 0.00,4192
Running kpath variant 0 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 103.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 109.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.00,4168
Running kpath variant N with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 110.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 122.0, Time/Memory: 0.00,4168
Running kpath variant 1 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 110.0, Time/Memory: 0.01,4184
Running klev variant 1 with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 112.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 112.0, Time/Memory: 0.00,4168
Running klev variant N with N=600, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 112.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 110.0, Time/Memory: 0.00,3116
Running klev variant 1 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 112.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 100.0, Time/Memory: 0.00,3108
Running klev variant N with N=600, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 100.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 110.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4224
Running klev variant 2 with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running klev variant N with N=600, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 11.0,  Average Height: 131.0, Time/Memory: 0.03,4196
Running kpath variant 1 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 10.0,  Average Height: 132.0, Time/Memory: 0.03,4168
Running kpath variant 2 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 135.0, Time/Memory: 0.02,4168
Running kpath variant N with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 133.0, Time/Memory: 0.01,4196
Running kpath variant 0 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 6.0,  Average Height: 133.0, Time/Memory: 0.01,4196
Running kpath variant 1 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 135.0, Time/Memory: 0.01,4168
Running kpath variant 2 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 132.0, Time/Memory: 0.00,4168
Running kpath variant N with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 132.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 132.0, Time/Memory: 0.01,4168
Running kpath variant 1 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4164
Running kpath variant 2 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant N with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 133.0, Time/Memory: 0.01,4188
Running klev variant 1 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 131.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 131.0, Time/Memory: 0.01,4168
Running klev variant N with N=700, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 131.0, Time/Memory: 0.01,4180
Running klev variant 0 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 134.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 131.0, Time/Memory: 0.01,4176
Running klev variant 2 with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 133.0, Time/Memory: 0.00,4168
Running klev variant N with N=700, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 133.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 134.0, Time/Memory: 0.00,4168
Running klev variant 1 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4164
Running klev variant 2 with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4172
Running klev variant N with N=700, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4212
Running kpath variant 0 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 80.0, Time/Memory: 0.01,4168
Running kpath variant 1 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 89.0, Time/Memory: 0.01,4168
Running kpath variant 2 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 76.0, Time/Memory: 0.01,4168
Running kpath variant N with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 76.0, Time/Memory: 0.01,4168
Running kpath variant 0 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 72.0, Time/Memory: 0.00,4164
Running kpath variant 1 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 80.0, Time/Memory: 0.01,4212
Running kpath variant 2 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 79.0, Time/Memory: 0.00,4276
Running kpath variant N with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 79.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 78.0, Time/Memory: 0.01,5200
Running kpath variant 1 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant 2 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4176
Running kpath variant N with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4252
Graph already exists at: ./input/random_graphs/graph_900_8832_POWLAW_6230961512046992311.txt
Graph already exists at: ./input/random_graphs/graph_1000_9965_POWLAW_6230961512046992311.txt
Running klev variant 0 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 97.0, Time/Memory: 0.01,4192
Running klev variant 1 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 93.0, Time/Memory: 0.00,4196
Running klev variant 2 with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 93.0, Time/Memory: 0.00,4196
Running klev variant N with N=800, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 93.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 97.0, Time/Memory: 0.01,4268
Running klev variant 1 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 93.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 93.0, Time/Memory: 0.01,4164
Running klev variant N with N=800, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 93.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 97.0, Time/Memory: 0.01,4164
Running klev variant 1 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4192
Running klev variant 2 with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4164
Running klev variant N with N=800, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 63.0, Time/Memory: 0.02,4168
Running kpath variant 1 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 69.0, Time/Memory: 0.02,4168
Running kpath variant 2 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 56.0, Time/Memory: 0.01,4244
Running kpath variant N with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 56.0, Time/Memory: 0.01,4168
Running kpath variant 0 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 50.0, Time/Memory: 0.00,4196
Running kpath variant 1 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 48.0, Time/Memory: 0.01,4168
Running kpath variant 2 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 52.0, Time/Memory: 0.00,4196
Running kpath variant N with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 52.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 50.0, Time/Memory: 0.01,5188
Running kpath variant 1 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 2 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant N with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running klev variant 0 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 77.0, Time/Memory: 0.00,4216
Running klev variant 1 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.00,4212
Running klev variant 2 with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.01,4168
Running klev variant N with N=900, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.01,4236
Running klev variant 0 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 77.0, Time/Memory: 0.01,4196
Running klev variant 1 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.01,4168
Running klev variant N with N=900, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 78.0, Time/Memory: 0.01,4164
Running klev variant 0 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 77.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4164
Running klev variant 2 with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=900, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 12.0,  Average Height: 173.0, Time/Memory: 0.03,4164
Running kpath variant 1 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 11.0,  Average Height: 171.0, Time/Memory: 0.03,4152
Running kpath variant 2 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 170.0, Time/Memory: 0.02,4176
Running kpath variant N with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 169.0, Time/Memory: 0.01,4176
Running kpath variant 0 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 6.0,  Average Height: 172.0, Time/Memory: 0.02,4168
Running kpath variant 1 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 175.0, Time/Memory: 0.01,4168
Running kpath variant 2 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 172.0, Time/Memory: 0.01,4180
Running kpath variant N with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 172.0, Time/Memory: 0.01,4180
Running kpath variant 0 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 178.0, Time/Memory: 0.01,4168
Running kpath variant 1 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4184
Running kpath variant 2 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4196
Running kpath variant N with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 0 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 170.0, Time/Memory: 0.01,4164
Running klev variant 1 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 169.0, Time/Memory: 0.01,4212
Running klev variant 2 with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 173.0, Time/Memory: 0.01,4196
Running klev variant N with N=1000, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 173.0, Time/Memory: 0.01,4252
Running klev variant 0 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 170.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 169.0, Time/Memory: 0.01,4216
Running klev variant 2 with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 173.0, Time/Memory: 0.01,4168
Running klev variant N with N=1000, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 173.0, Time/Memory: 0.01,4176
Running klev variant 0 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 170.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running klev variant N with N=1000, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 0.0, Time/Memory: 0.00,4168
Running kpath variant 0 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 6.0,  Average Height: 86.0, Time/Memory: 0.02,4196
Running kpath variant 1 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 92.0, Time/Memory: 0.03,4192
Running kpath variant 2 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 90.0, Time/Memory: 0.01,4184
Running kpath variant N with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 90.0, Time/Memory: 0.02,4168
Running kpath variant 0 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 69.0, Time/Memory: 0.01,5212
Running kpath variant 1 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 71.0, Time/Memory: 0.01,5192
Running kpath variant 2 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 70.0, Time/Memory: 0.01,5212
Running kpath variant N with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 70.0, Time/Memory: 0.01,5248
Running kpath variant 0 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 70.0, Time/Memory: 0.01,5220
Running kpath variant 1 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 75.0, Time/Memory: 0.01,5192
Running kpath variant 2 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 63.0, Time/Memory: 0.01,5192
Running kpath variant N with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 63.0, Time/Memory: 0.01,5192
Running klev variant 0 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 100.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.01,4196
Running klev variant 2 with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 102.0, Time/Memory: 0.01,4184
Running klev variant N with N=1200, sparsity=2, k=2, seed=1729...
      Average Passes: 2.0,  Average Height: 102.0, Time/Memory: 0.01,4164
Running klev variant 0 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 100.0, Time/Memory: 0.01,4168
Running klev variant 1 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.00,4168
Running klev variant 2 with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 102.0, Time/Memory: 0.01,5192
Running klev variant N with N=1200, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.01,5212
Running klev variant 0 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 4.0,  Average Height: 100.0, Time/Memory: 0.02,4168
Running klev variant 1 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 107.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 103.0, Time/Memory: 0.01,5216
Running klev variant N with N=1200, sparsity=2, k=10, seed=1729...
      Average Passes: 1.0,  Average Height: 103.0, Time/Memory: 0.01,5196
Running kpath variant 0 with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 64.0, Time/Memory: 0.03,4184
Running kpath variant 1 with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 7.0,  Average Height: 69.0, Time/Memory: 0.03,4168
Running kpath variant 2 with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 65.0, Time/Memory: 0.02,4168
Running kpath variant N with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 65.0, Time/Memory: 0.02,3104
Running kpath variant 0 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 4.0,  Average Height: 61.0, Time/Memory: 0.02,5220
Running kpath variant 1 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 3.0,  Average Height: 60.0, Time/Memory: 0.02,5220
Running kpath variant 2 with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.01,5212
Running kpath variant N with N=1400, sparsity=2, k=5, seed=1729...
      Average Passes: 2.0,  Average Height: 57.0, Time/Memory: 0.01,4212
Running kpath variant 0 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 3.0,  Average Height: 65.0, Time/Memory: 0.01,5188
Running kpath variant 1 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 70.0, Time/Memory: 0.01,5192
Running kpath variant 2 with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 63.0, Time/Memory: 0.01,5188
Running kpath variant N with N=1400, sparsity=2, k=10, seed=1729...
      Average Passes: 2.0,  Average Height: 63.0, Time/Memory: 0.01,5216
Running klev variant 0 with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 4.0,  Average Height: 86.0, Time/Memory: 0.02,4184
Running klev variant 1 with N=1400, sparsity=2, k=2, seed=1729...
      Average Passes: 3.0,  Average Height: 90.0, Time/Memory: 0.01,4168
Running klev variant 2 with N=1400, sparsity=2, k=2, seed=1729...
